index,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,1078,4635658,Tracy,78705,30.30123,-97.73674,Entire home/apt,85,2,221,4/28/2019,1.7,2,26
1,2265,2466,Paddy,78702,30.2775,-97.71398,Entire home/apt,225,28,24,3/16/2019,0.19,3,82
2,5245,2466,Paddy,78702,30.27577,-97.71379,Private room,100,28,9,3/14/2018,0.07,3,41
3,5456,8028,Sylvia,78702,30.26112,-97.73448,Entire home/apt,95,2,481,4/23/2019,3.88,1,290
4,5769,8186,Elizabeth,78729,30.45596,-97.7837,Private room,40,1,246,4/28/2019,2.22,1,69
5,6413,13879,Todd,78704,30.24829,-97.73726,Entire home/apt,99,4,94,5/6/2019,0.82,1,0
6,6448,14156,Amy,78704,30.26027,-97.76503,Entire home/apt,129,3,206,5/5/2019,2.2,2,100
7,8502,25298,Karen,78741,30.23616,-97.73682,Entire home/apt,40,3,45,10/9/2018,0.4,1,175
8,14765,57982,Charla,78704,30.25012,-97.74193,Entire home/apt,260,2,47,4/14/2019,0.63,1,133
9,14913,58635,Steven,78748,30.15645,-97.82411,Entire home/apt,300,1,25,8/26/2018,0.4,1,0
10,21126,80406,Dani,78704,30.24503,-97.74075,Entire home/apt,550,1,80,5/7/2019,1.05,11,137
11,21145,80511,April,78705,30.29422,-97.74618,Entire home/apt,220,2,32,2/18/2019,0.81,1,93
12,22166,84906,Stacey,78759,30.38957,-97.76216,Entire home/apt,155,30,9,7/4/2015,0.08,1,347
13,22828,56488,David,78741,30.23564,-97.73146,Entire home/apt,54,31,35,2/28/2019,0.31,1,237
14,22982,89031,Gina,78703,30.28027,-97.75596,Entire home/apt,95,2,130,4/20/2019,1.17,1,294
15,25028,102862,Elana,78757,30.33766,-97.73726,Entire home/apt,100,30,31,12/22/2018,0.28,1,227
16,32396,140174,Tiffany,78749,30.20273,-97.84439,Entire home/apt,55,1,9,10/2/2012,0.08,1,133
17,37324,161189,Chris,78727,30.4303,-97.69125,Private room,35,2,31,5/4/2019,0.64,1,271
18,39993,210965,Susan And Anthony,78703,30.29996,-97.77832,Entire home/apt,59,2,110,5/12/2019,1.75,2,289
19,40285,170787,Robbie,78731,30.35141,-97.76323,Entire home/apt,350,2,28,11/27/2016,0.28,1,364
20,46929,210965,Susan And Anthony,78703,30.30038,-97.77886,Entire home/apt,105,2,345,5/12/2019,3.3,2,240
21,47572,215917,Belinda,78758,30.37641,-97.70926,Private room,52,3,1,3/19/2019,0.53,1,357
22,50310,230553,Sevylla,78744,30.20093,-97.75318,Entire home/apt,40,3,234,5/5/2019,2.24,2,263
23,50318,12409,Flip,78705,30.28625,-97.75022,Entire home/apt,100,5,28,3/17/2019,0.27,2,319
24,50334,230747,Suzanne,78703,30.28271,-97.75881,Entire home/apt,300,7,3,3/18/2015,0.03,1,365
25,51100,235136,Charla,78703,30.28188,-97.76413,Entire home/apt,500,3,2,5/12/2019,0.02,1,210
26,56690,268988,Stephanie,78704,30.2444,-97.75121,Entire home/apt,150,2,156,5/5/2019,1.57,2,85
