id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1078,*UT/Hyde Park Craftsman Apartment,4635658,Tracy,,78705,30.30123,-97.73674,Entire home/apt,85,2,221,2019-04-28,1.70,2,26
2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,28,24,2019-03-16,0.19,3,82
5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,28,9,2018-03-14,0.07,3,41
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,481,2019-04-23,3.88,1,290
5769,NW Austin Room,8186,Elizabeth,,78729,30.45596,-97.7837,Private room,40,1,246,2019-04-28,2.22,1,69
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,4,94,2019-05-06,0.82,1,0
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,129,3,206,2019-05-05,2.20,2,100
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23616,-97.73682,Entire home/apt,40,3,45,2018-10-09,0.40,1,175
14765,"30s Craftsman Travis Hghts home, SoCo,  downtown",57982,Charla,,78704,30.25012,-97.74193,Entire home/apt,260,2,47,2019-04-14,0.63,1,133
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,25,2018-08-26,0.40,1,0
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.24503,-97.74075,Entire home/apt,550,1,80,2019-05-07,1.05,11,137
21145,"Central, Pet Friendly, Private Pool, Non Smoking",80511,April,,78705,30.29422,-97.74618,Entire home/apt,220,2,32,2019-02-18,0.81,1,93
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,155,30,9,2015-07-04,0.08,1,347
22828,Garage Apartment near S Congress,56488,David,,78741,30.23564,-97.73146,Entire home/apt,54,31,35,2019-02-28,0.31,1,237
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,130,2019-04-20,1.17,1,294
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,100,30,31,2018-12-22,0.28,1,227
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.08,1,133
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,35,2,31,2019-05-04,0.64,1,271
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29996,-97.77832,Entire home/apt,59,2,110,2019-05-12,1.75,2,289
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141,-97.76323,Entire home/apt,350,2,28,2016-11-27,0.28,1,364
46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.30038,-97.77886,Entire home/apt,105,2,345,2019-05-12,3.30,2,240
47572,Harmonious Home in  North Austin,215917,Belinda,,78758,30.37641,-97.70926,Private room,52,3,1,2019-03-19,0.53,1,357
50310,Super Hip South Austin Studio,230553,Sevylla,,78744,30.20093,-97.75318,Entire home/apt,40,3,234,2019-05-05,2.24,2,263
50318,Scooby Doo House,12409,Flip,,78705,30.28625,-97.75022,Entire home/apt,100,5,28,2019-03-17,0.27,2,319
50334,Villa in Central Austin for ACL!,230747,Suzanne,,78703,30.28271,-97.75881,Entire home/apt,300,7,3,2015-03-18,0.03,1,365
51100,Walking distance to ACL,235136,Charla,,78703,30.28188,-97.76413,Entire home/apt,500,3,2,2019-05-12,0.02,1,210
56690,STUDIO IN SOCO.  BEST LOCATION!,268988,Stephanie,,78704,30.2444,-97.75121,Entire home/apt,150,2,156,2019-05-05,1.57,2,85
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25596,-97.76866,Entire home/apt,99,1,564,2019-05-05,5.54,2,251
62279,4-2 1/2 home 10 minutes from downtown,303006,Paula,,78703,30.29717,-97.77102,Entire home/apt,249,3,0,,,1,365
68130,Hyde Park Flat - Bamboo Floors,336916,Drew,,78751,30.31171,-97.72455,Entire home/apt,89,2,420,2019-04-28,4.15,1,88
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.2607,-97.77194,Entire home/apt,145,2,68,2019-05-12,0.69,2,234
69352,Enchanting Zilker Cottage~Downtown,347068,Particular Properties,,78704,30.25775,-97.76354,Entire home/apt,89,2,390,2018-05-24,3.93,2,194
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.23152,-97.76434,Entire home/apt,110,2,398,2019-05-10,3.99,1,220
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23616,-97.76446,Entire home/apt,150,2,22,2019-03-31,1.09,1,91
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24501,-97.74986,Entire home/apt,150,2,129,2019-05-04,1.30,2,85
72633,Architect Designed - Great Location,377037,Becca,,78704,30.24604,-97.75329,Entire home/apt,470,2,39,2019-03-20,0.39,1,336
72706,"Great, Central SoCo Cottage!",377618,Susan,,78704,30.24775,-97.76403,Entire home/apt,145,2,239,2019-05-07,2.41,2,317
72833,Central Cottage with bikes!,378744,Ellen And Andy,,78731,30.31383,-97.75161,Entire home/apt,85,3,305,2019-05-08,3.07,1,123
73005,3BR Convenient Gated Townhome!,128514,Vivian,,78727,30.41519,-97.73019,Entire home/apt,230,2,23,2019-04-15,0.23,1,132
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.28985,-97.7451,Entire home/apt,107,30,39,2019-03-25,0.39,2,320
73898,Close to everything !! Good music!!,387130,Rick,,78749,30.20857,-97.85673,Private room,67,10,26,2018-04-21,0.27,1,0
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24422,-97.77885,Entire home/apt,90,2,188,2019-04-23,1.90,1,358
74716,Welcoming East Austin Guest Suite,393795,Jennifer,,78702,30.27656,-97.72166,Private room,75,2,87,2018-10-25,1.28,1,0
74742,Large private room,394019,William,,78704,30.23042,-97.78256,Private room,77,1,6,2019-03-18,0.06,2,0
75174,South Shore Condo on Lady Bird Lake,393905,David,,78702,30.24773,-97.72584,Entire home/apt,130,2,240,2019-05-05,2.41,2,189
75957,PRIVATE COTTAGE APT IN Tarrytown -Central Austin,404260,Kelly,,78703,30.29187,-97.76824,Entire home/apt,115,2,259,2019-05-07,2.61,2,332
76391,3700 ft2 brand new Mueller Home,407740,Michelle,,78751,30.3071,-97.73046,Entire home/apt,850,3,4,2015-03-19,0.04,1,365
76497,Lovely chic 2 Bdrm Downtown whereAirbnb CEO stays,177441,Ashley,,78703,30.27577,-97.75608,Entire home/apt,152,2,168,2019-05-06,1.69,2,353
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29138,-97.71907,Entire home/apt,125,2,151,2019-04-22,1.51,1,316
76911,EastSideLavishness- A Stay of comfort and Joy,394012,Peter,,78702,30.26775,-97.72695,Entire home/apt,821,2,114,2019-05-12,2.29,1,340
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25517,-97.72458,Entire home/apt,400,2,15,2019-04-07,0.15,1,346
76996,The Travis Heights Tree House,1665428,Krista,,78704,30.23778,-97.74453,Entire home/apt,68,20,33,2019-04-21,0.33,1,221
77347,Room or rooms ,382265,Leslie,,78733,30.33937,-97.88116,Private room,95,2,0,,,2,361
77635,"Retro 60's Home,Walk to Zilker,Yard",416628,Carlos,,78704,30.25177,-97.77888,Entire home/apt,195,3,13,2019-04-06,0.16,2,340
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25003,-97.77859,Entire home/apt,245,3,19,2019-05-06,0.34,2,362
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25625,-97.76766,Entire home/apt,750,3,62,2019-04-28,2.32,1,113
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.2752,-97.74863,Entire home/apt,404,1,4,2018-11-04,0.04,3,12
78422,Living the Dream on Richardine,421002,E. Dixie,,78702,30.27324,-97.71173,Private room,50,1,1,2011-03-17,0.01,1,72
78584,East 2nd Street Charmer!,422239,Cristina,,78702,30.26278,-97.73529,Entire home/apt,176,2,92,2019-04-28,1.08,3,114
78731,Private Room and Bath in Central East Austin House,423131,Robin,,78702,30.26984,-97.72874,Private room,85,2,150,2019-04-28,1.72,1,64
78749,Condo in the Heart of Downtown Austin...Walkable!,423241,Breanne,,78701,30.27066,-97.7414,Entire home/apt,128,30,7,2019-05-03,0.07,2,129
78831,Cool Hyde Park efficiency apartment,423840,Marcus,,78751,30.31262,-97.72543,Entire home/apt,109,2,308,2019-05-12,3.09,1,169
78884,Beautiful Zilker Park Condo next to Downtown!,424158,Lynne,,78704,30.26088,-97.77438,Entire home/apt,89,2,109,2019-04-29,1.10,1,270
78898,South Austin studio guest house,424128,Jaime,,78704,30.25126,-97.77173,Entire home/apt,95,2,220,2019-05-12,2.21,1,36
78908,Cool South Central Home for rent,424338,Patty,,78704,30.23596,-97.78299,Entire home/apt,400,1,4,2012-11-20,0.04,1,364
78974,78704 Detached Garden  Cottage,424835,Dan,,78704,30.23916,-97.76487,Entire home/apt,100,1,398,2019-04-27,4.01,1,353
78993,NEWLY REMODELED CENTRAL AUSTIN HOME SLEEPS 5-6,424999,Emily,,78731,30.32787,-97.75442,Entire home/apt,500,2,10,2018-10-21,0.56,1,0
79100,Pool House-Off East 51st-Central-Bike/Bus-Dwell,425706,Robert,,78723,30.30971,-97.6948,Entire home/apt,95,2,20,2019-03-24,0.62,6,0
79432,Carriage House Apartment,427758,Ford,,78703,30.2809,-97.76065,Entire home/apt,119,30,53,2019-04-08,0.53,1,100
79768,East-Side Bungalow,430091,Shawn,,78702,30.26071,-97.73258,Entire home/apt,225,4,34,2019-03-11,0.37,2,0
80025,HOUSE SXSW Only. NEW LISTING,428761,David,,78722,30.29808,-97.71339,Private room,600,5,4,2018-01-23,0.04,1,365
80725,Central Austin Home ,436771,Merlyn,,78703,30.28408,-97.76828,Entire home/apt,500,4,0,,,1,365
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30419,-97.68914,Entire home/apt,508,1,4,2018-05-22,0.28,1,71
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32373,-97.71629,Private room,47,2,164,2019-04-08,1.76,1,348
84771,Campus Retreat,321037,Lucien,,78705,30.29269,-97.74345,Entire home/apt,45,2,16,2018-01-03,0.78,2,0
